Threshold,Sensitivity,Specificity,PPV,NPV,F1_Score,Balanced_Accuracy,Youden_Index,True_Positive,False_Positive,True_Negative,False_Negative,Model,AUROC
0.6500000000000001,0.1739606126914661,0.9918625678119349,0.8153846153846154,0.8531985222632704,0.2867448151487827,0.5829115902517005,0.16582318050340095,159,36,4388,755,Logistic Regression,0.8340064240803098
0.7000000000000001,0.14660831509846828,0.9950271247739603,0.8589743589743589,0.8494789656503281,0.2504672897196261,0.5708177199362143,0.14163543987242866,134,22,4402,780,Logistic Regression,0.8340064240803098
0.7500000000000001,0.11706783369803063,0.9975135623869801,0.9067796610169492,0.8454022988505747,0.2073643410852713,0.5572906980425053,0.11458139608501061,107,11,4413,807,Logistic Regression,0.8340064240803098
0.8,0.08315098468271334,0.9988698010849909,0.9382716049382716,0.8405934943884344,0.15276381909547737,0.5410103928838521,0.08202078576770422,76,5,4419,838,Logistic Regression,0.8340064240803098
0.8500000000000001,0.0525164113785558,0.9995479204339964,0.96,0.836232980332829,0.09958506224066388,0.5260321659062761,0.05206433181255221,48,2,4422,866,Logistic Regression,0.8340064240803098
0.9000000000000001,0.038293216630196934,0.9997739602169982,0.9722222222222222,0.8342135043379857,0.07368421052631578,0.5190335884235976,0.03806717684719518,35,1,4423,879,Logistic Regression,0.8340064240803098
0.05,0.9343544857768052,0.38991862567811936,0.24036025893611032,0.9663865546218487,0.38235952540855156,0.6621365557274623,0.32427311145492466,854,2699,1725,60,SVM,0.8313223871383859
0.1,0.8402625820568927,0.6283905967450272,0.31840796019900497,0.9501025290498974,0.4618159951894167,0.73432658940096,0.4686531788019199,768,1644,2780,146,SVM,0.8313223871383859
0.15000000000000002,0.7592997811816192,0.75,0.38555555555555554,0.9378179762577727,0.5114222549742078,0.7546498905908097,0.5092997811816193,694,1106,3318,220,SVM,0.8313223871383859
0.2,0.6805251641137856,0.8227848101265823,0.4423897581792319,0.9257375381485249,0.5362068965517242,0.751654987120184,0.5033099742403679,622,784,3640,292,SVM,0.8313223871383859
0.25,0.6192560175054704,0.8666365280289331,0.48961937716262977,0.9167862266857962,0.5468599033816425,0.7429462727672018,0.48589254553440364,566,590,3834,348,SVM,0.8313223871383859
0.3,0.550328227571116,0.9014466546112115,0.5356762513312034,0.9065696749261196,0.5429033998920669,0.7258874410911638,0.45177488218232753,503,436,3988,411,SVM,0.8313223871383859
0.35000000000000003,0.4824945295404814,0.9254068716094033,0.5719844357976653,0.8964309174512809,0.5234421364985162,0.7039507005749424,0.4079014011498847,441,330,4094,473,SVM,0.8313223871383859
0.4,0.42560175054704596,0.9464285714285714,0.6214057507987221,0.8885823429541596,0.5051948051948052,0.6860151609878087,0.37203032197561736,389,237,4187,525,SVM,0.8313223871383859
0.45,0.3774617067833698,0.963381555153707,0.6804733727810651,0.8822190022769613,0.4855735397607319,0.6704216309685385,0.3408432619370769,345,162,4262,569,SVM,0.8313223871383859
0.5,0.33150984682713347,0.9712929475587704,0.7046511627906977,0.8755093724531378,0.4508928571428571,0.651401397192952,0.30280279438590396,303,127,4297,611,SVM,0.8313223871383859
0.55,0.27680525164113784,0.9830470162748643,0.7713414634146342,0.868063872255489,0.40740740740740744,0.6299261339580011,0.25985226791600224,253,75,4349,661,SVM,0.8313223871383859
0.6000000000000001,0.22538293216630198,0.9882459312839059,0.7984496124031008,0.8606299212598425,0.3515358361774744,0.606814431725104,0.21362886345020793,206,52,4372,708,SVM,0.8313223871383859
0.6500000000000001,0.18490153172866522,0.9920886075949367,0.8284313725490197,0.8548889754577328,0.3023255813953489,0.588495069661801,0.17699013932360197,169,35,4389,745,SVM,0.8313223871383859
0.7000000000000001,0.1575492341356674,0.995253164556962,0.8727272727272727,0.851150202976996,0.26691380908248385,0.5764011993463147,0.15280239869262946,144,21,4403,770,SVM,0.8313223871383859
0.7500000000000001,0.12800875273522977,0.9975135623869801,0.9140625,0.8470249520153551,0.22456813819577737,0.5627611575611049,0.1255223151222098,117,11,4413,797,SVM,0.8313223871383859
0.8,0.10284463894967177,0.9988698010849909,0.9494949494949495,0.8434815804542851,0.18558736426456068,0.5508572200173314,0.10171444003466279,94,5,4419,820,SVM,0.8313223871383859
0.8500000000000001,0.0700218818380744,0.9990958408679927,0.9411764705882353,0.8387096774193549,0.13034623217922606,0.5345588613530335,0.06911772270606709,64,4,4420,850,SVM,0.8313223871383859
0.9000000000000001,0.04814004376367615,0.9997739602169982,0.9777777777777777,0.8356319667485358,0.09176225234619395,0.5239570019903371,0.04791400398067425,44,1,4423,870,SVM,0.8313223871383859
0.05,0.7242888402625821,0.6939421338155516,0.32837301587301587,0.9241420830824805,0.451877133105802,0.7091154870390668,0.4182309740781336,662,1354,3070,252,Gaussian Naive Bayes,0.7872658979665322
0.1,0.6597374179431073,0.7536166365280289,0.3561724748966332,0.9146776406035665,0.46260069044879165,0.706677027235568,0.41335405447113605,603,1090,3334,311,Gaussian Naive Bayes,0.7872658979665322
0.15000000000000002,0.6181619256017505,0.7882007233273056,0.37616511318242346,0.9090198123044838,0.4677152317880795,0.7031813244645281,0.40636264892905616,565,937,3487,349,Gaussian Naive Bayes,0.7872658979665322
0.2,0.5951859956236324,0.8144213381555153,0.39853479853479856,0.9068713818273345,0.47740236946028963,0.7048036668895739,0.4096073337791477,544,821,3603,370,Gaussian Naive Bayes,0.7872658979665322
0.25,0.5612691466083151,0.8270795660036167,0.4014084507042254,0.9012315270935961,0.46806569343065696,0.6941743563059659,0.3883487126119318,513,765,3659,401,Gaussian Naive Bayes,0.7872658979665322
0.3,0.5448577680525164,0.8417721518987342,0.41569282136894825,0.8995169082125604,0.4715909090909091,0.6933149599756253,0.3866299199512506,498,700,3724,416,Gaussian Naive Bayes,0.7872658979665322
0.35000000000000003,0.5306345733041575,0.8546564195298373,0.4299645390070922,0.8980997624703088,0.47502448579823703,0.6926454964169975,0.3852909928339949,485,643,3781,429,Gaussian Naive Bayes,0.7872658979665322
0.4,0.5185995623632386,0.8634719710669078,0.4397031539888683,0.8967136150234741,0.4759036144578313,0.6910357667150732,0.3820715334301463,474,604,3820,440,Gaussian Naive Bayes,0.7872658979665322
0.45,0.5065645514223195,0.8727396021699819,0.4512670565302144,0.8954081632653061,0.47731958762886595,0.6896520767961507,0.3793041535923014,463,563,3861,451,Gaussian Naive Bayes,0.7872658979665322
